threshold,number_of_patterns,mean_final_train_accuracy,std_final_train_accuracy,mean_epoch_train_accuracy,mean_final_test_accuracy,std_final_test_accuracy,mean_best_test_accuracy,std_best_test_accuracy
100,137,91.2701153755188,0.7166425172670677,90.15221228599549,91.02775275707245,0.09271525053159627,91.07426166534424,0.09932061339023454
200,69,90.93678116798401,0.6963523984895632,89.78491327390074,90.9926176071167,0.0864177387586945,91.0532820224762,0.07525790265657142
300,54,90.95402240753174,0.6658739752525414,89.6419822871685,90.98276019096375,0.06662026978527082,91.05050146579742,0.0616278020868962
400,41,90.80459713935852,0.6476682957821285,89.61405119150876,90.87861895561218,0.07893565011057141,90.99893748760223,0.040804959167976565
500,34,90.79310357570648,0.638837190258287,89.47462597936392,90.91805160045624,0.06357589404280183,90.9875625371933,0.04186041131832689
600,27,90.63218355178833,0.4856246128026764,89.02772936671973,90.83893477916718,0.0763942244838073,90.91426014900208,0.04801649882593477
700,23,90.5344831943512,0.6264373031253199,88.89839029312134,90.7906574010849,0.026563222124494145,90.87154269218445,0.04917169985339401
800,22,90.44827580451965,0.5932640835812224,88.92864890471101,90.76992928981781,0.033670864356383015,90.85435390472412,0.052825697782206645
900,17,89.8850566148758,0.5317261354840426,87.81910862326622,90.41605412960052,0.06631257878162009,90.48404932022095,0.06089657693200706
1000,14,89.80459690093994,0.6126557725101208,87.63522943407297,90.33162951469421,0.07586461931241381,90.3829425573349,0.08586757753185464
1100,14,89.81609106063843,0.6231328685875238,87.63640759140253,90.33061861991882,0.07629427681605024,90.38471162319183,0.08545703859350799
1200,13,89.21264350414276,0.8666723548482392,86.7248560257256,90.03740847110748,0.14139738439898167,90.080885887146,0.1407206452803189
1300,11,88.86206865310669,0.6465450459249266,86.50192500427366,89.66482818126678,0.07842966906267329,89.72119569778442,0.08493396076426858
1400,9,85.68965435028076,0.5229572732171284,83.14382150545717,87.030228972435,0.13567971034924603,87.58733034133911,0.1357723415428107
1500,9,85.71838974952698,0.512913373933832,83.14373529925942,87.03629553318024,0.13470397966514683,87.58733034133911,0.1357723415428107
1600,7,73.29310238361359,0.5619568446637886,71.45948248580098,78.57919096946716,1.2004382103241718,79.67013716697693,0.7244333663370901
1700,6,59.764368534088135,0.9186238140322496,58.328218100219964,71.25018954277039,0.6134043614978206,72.40634858608246,0.7127597594111005
1800,6,59.75287437438965,0.9043465586599645,58.33339051380754,71.27192616462708,0.6210492282491562,72.40533709526062,0.722484898025949
1900,5,59.908044934272766,1.5430156488603388,58.2799710392952,70.92361211776733,0.8921819175557788,72.04489052295685,0.6141089937407629
2000,5,59.93103384971619,1.5152810561908316,58.281867599487306,70.94282329082489,0.8696548224812669,72.04438507556915,0.6145037329583168
