threshold,number_of_patterns,mean_final_train_accuracy,std_final_train_accuracy,mean_epoch_train_accuracy,mean_final_test_accuracy,std_final_test_accuracy,mean_best_test_accuracy,std_best_test_accuracy
10,411,56.08045935630798,1.4355855590368078,50.02755721360445,33.44648838043213,0.9644282186568177,34.92113620042801,1.1421819142276906
110,34,26.87931001186371,0.6492215144521765,26.468534330278636,21.85607358813286,0.5683162199249892,26.553763300180435,1.7257706317533863
210,20,25.189654678106308,0.5379321191071308,25.028045830130576,21.31211742758751,0.4924227847278455,26.049744486808777,1.8371478817462306
310,14,23.988505750894547,0.6034209979744072,23.761580361425878,20.550527721643448,1.0074264905432124,27.45311141014099,2.082467881801476
410,12,23.75287353992462,1.0010727178028134,23.328103332966567,20.504271686077118,0.7336258397381122,26.879834085702896,1.7418940683254787
510,8,22.20114901661873,1.001402813443157,21.934540144354106,20.195894837379456,0.7259828356406324,26.221626847982407,2.38957322105862
610,5,21.045976877212524,0.7232249724726936,20.99410911053419,19.09862995147705,0.7458209119227165,24.68934804201126,2.983987773411821
710,4,20.908045917749405,0.8461364711339852,20.627442447096108,18.83044332265854,0.6042600030549793,25.206258445978165,3.037650603349361
810,3,20.18390789628029,0.8980242158914882,20.163419460505246,18.063798248767853,0.8588322089239445,25.57327687740326,1.887865946982845
910,1,17.6839080452919,0.783403241395296,17.430890764668582,18.100702464580536,3.6003519111553897,26.628330498933792,1.036743247419733
1010,1,17.6839080452919,0.783403241395296,17.431264327839017,18.10297742486,3.5984595942728714,26.628330498933792,1.036743247419733
1110,1,17.6839080452919,0.783403241395296,17.430976969376207,18.101966232061386,3.599085067705908,26.628077775239944,1.0369577427587657
1210,1,17.678160816431046,0.7707150562468201,17.431293062493204,18.102219104766846,3.597807148398401,26.628077775239944,1.0369577427587657
1310,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1410,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1510,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1610,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1710,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1810,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
1910,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
2010,0,16.66666716337204,0.0,16.66666716337204,16.125575080513954,5.417374121869267,26.03255659341812,3.1595975160598755
