threshold,number_of_patterns,mean_final_train_accuracy,std_final_train_accuracy,mean_epoch_train_accuracy,mean_final_test_accuracy,std_final_test_accuracy,mean_best_test_accuracy,std_best_test_accuracy
200,111,40.557471215724945,0.9630680066498019,38.481091854721306,30.816440284252167,1.831940126713027,32.79485374689102,1.3932705907669465
300,64,35.229885280132294,0.7654685506125278,33.85020101517439,27.62499362230301,1.4928988910543768,30.354127883911133,1.4390901454055418
400,45,32.72413790225983,0.6766979874284771,31.55908032357693,26.051261126995087,0.4934264227324919,28.819826543331146,1.2932988740811597
500,34,31.034482419490814,0.8139842607947532,30.3477872595191,24.67443436384201,0.9478931520434445,27.319902777671814,1.963369509155787
600,28,30.5747127532959,0.8212562021813643,29.831810203194618,24.464131891727448,0.6279855459909257,29.227035641670227,1.7961092475186988
700,24,30.252873599529266,0.6643837736651693,29.410919392853977,24.252818077802658,0.9471707073909821,28.716444671154022,1.5932946380004047
800,21,30.16666680574417,0.5574713877800954,29.351637766510247,24.377938210964203,0.820584198913946,28.41716766357422,2.6349430297944276
900,18,29.810344874858856,0.8156263314240249,28.95370678976178,23.976795822381973,1.0767591114104214,28.114604949951172,2.3673669617266677
1000,17,29.568965137004852,0.44609683258832106,28.77954011708498,23.663110733032227,0.8050456834440428,27.19528779387474,2.0044959780015645
1100,15,29.67816025018692,0.7109736517951061,28.829080329090356,23.754612654447556,1.066202033486882,27.332794070243835,1.6950157947801507
1200,15,29.67816025018692,0.7109736517951061,28.828563087433576,23.754865527153015,1.0663209941921976,27.332794070243835,1.6950157947801507
1300,15,29.71264272928238,0.6642842152088985,28.829195270687343,23.767756521701813,1.071220810972528,27.332541048526764,1.6946844219094381
1400,13,29.45977032184601,0.6916635283899173,28.693448171019554,23.41691479086876,0.7865089166188642,28.081997632980347,2.4149815707887683
1500,13,29.448275864124298,0.6945225891390759,28.69267230927944,23.417420238256454,0.7843227047092867,28.081997632980347,2.4149815707887683
1600,13,29.45402294397354,0.6873761021283102,28.693361961841582,23.41843143105507,0.7877386826890108,28.081997632980347,2.4149815707887683
1700,13,29.45402294397354,0.6873761021283102,28.69339069724083,23.41868430376053,0.7878730816154033,28.081997632980347,2.4149815707887683
1800,13,29.45402294397354,0.6873761021283102,28.693361967802048,23.41994807124138,0.7846086389052167,28.081997632980347,2.4149815707887683
1900,12,28.91379326581955,0.6192249750621839,28.453563127666712,22.74581640958786,1.3378446537765585,28.450532853603363,2.3972384446130515
2000,12,28.91379326581955,0.6192249750621839,28.453620598465204,22.746827602386475,1.337309794173689,28.450532853603363,2.3972384446130515
